"","var_covariance_structures","var_samplesizes","var_dimensionalities","var_effectsizes","powers_glob","powers_mctp"
"1","AR(1)",10,10,0.01,0.0504,0.0451
"2","AR(1)",10,10,0.2575,0.0666,0.0615
"3","AR(1)",10,10,0.505,0.1298,0.1068
"4","AR(1)",10,10,0.7525,0.2538,0.2102
"5","AR(1)",10,10,1,0.4633,0.3976
"6","AR(1)",10,20,0.01,0.0532,0.0487
"7","AR(1)",10,20,0.2575,0.0677,0.0557
"8","AR(1)",10,20,0.505,0.0896,0.08
"9","AR(1)",10,20,0.7525,0.1588,0.1557
"10","AR(1)",10,20,1,0.2927,0.2979
"11","AR(1)",10,30,0.01,0.0536,0.0525
"12","AR(1)",10,30,0.2575,0.0566,0.0517
"13","AR(1)",10,30,0.505,0.0836,0.0714
"14","AR(1)",10,30,0.7525,0.1375,0.1381
"15","AR(1)",10,30,1,0.2248,0.2496
"16","AR(1)",10,50,0.01,0.0519,0.053
"17","AR(1)",10,50,0.2575,0.0531,0.0543
"18","AR(1)",10,50,0.505,0.0759,0.0699
"19","AR(1)",10,50,0.7525,0.1095,0.1027
"20","AR(1)",10,50,1,0.1714,0.2111
"21","AR(1)",20,10,0.01,0.0506,0.0504
"22","AR(1)",20,10,0.2575,0.0836,0.0771
"23","AR(1)",20,10,0.505,0.232,0.2437
"24","AR(1)",20,10,0.7525,0.5361,0.5735
"25","AR(1)",20,10,1,0.8464,0.8715
"26","AR(1)",20,20,0.01,0.0552,0.048
"27","AR(1)",20,20,0.2575,0.0709,0.0682
"28","AR(1)",20,20,0.505,0.1503,0.183
"29","AR(1)",20,20,0.7525,0.3605,0.4869
"30","AR(1)",20,20,1,0.6522,0.8138
"31","AR(1)",20,30,0.01,0.0532,0.0481
"32","AR(1)",20,30,0.2575,0.0609,0.0624
"33","AR(1)",20,30,0.505,0.1228,0.1619
"34","AR(1)",20,30,0.7525,0.2744,0.4367
"35","AR(1)",20,30,1,0.5251,0.767
"36","AR(1)",20,50,0.01,0.051,0.054
"37","AR(1)",20,50,0.2575,0.0655,0.0659
"38","AR(1)",20,50,0.505,0.1017,0.1436
"39","AR(1)",20,50,0.7525,0.2029,0.3749
"40","AR(1)",20,50,1,0.3958,0.7206
"41","AR(1)",30,10,0.01,0.0484,0.0488
"42","AR(1)",30,10,0.2575,0.1168,0.1112
"43","AR(1)",30,10,0.505,0.3654,0.4207
"44","AR(1)",30,10,0.7525,0.7774,0.8331
"45","AR(1)",30,10,1,0.9717,0.9845
"46","AR(1)",30,20,0.01,0.0496,0.0474
"47","AR(1)",30,20,0.2575,0.0834,0.0848
"48","AR(1)",30,20,0.505,0.2322,0.3429
"49","AR(1)",30,20,0.7525,0.5673,0.774
"50","AR(1)",30,20,1,0.8952,0.9742
"51","AR(1)",30,30,0.01,0.051,0.0488
"52","AR(1)",30,30,0.2575,0.0758,0.0802
"53","AR(1)",30,30,0.505,0.1828,0.2928
"54","AR(1)",30,30,0.7525,0.4524,0.7279
"55","AR(1)",30,30,1,0.8097,0.9682
"56","AR(1)",30,50,0.01,0.052,0.0519
"57","AR(1)",30,50,0.2575,0.069,0.0737
"58","AR(1)",30,50,0.505,0.1332,0.2565
"59","AR(1)",30,50,0.7525,0.3259,0.6813
"60","AR(1)",30,50,1,0.6477,0.9478
"61","AR(1)",40,10,0.01,0.0518,0.0479
"62","AR(1)",40,10,0.2575,0.132,0.1393
"63","AR(1)",40,10,0.505,0.5037,0.5863
"64","AR(1)",40,10,0.7525,0.9069,0.9474
"65","AR(1)",40,10,1,0.9984,0.9994
"66","AR(1)",40,20,0.01,0.0534,0.0521
"67","AR(1)",40,20,0.2575,0.0961,0.1091
"68","AR(1)",40,20,0.505,0.3208,0.5002
"69","AR(1)",40,20,0.7525,0.7431,0.9227
"70","AR(1)",40,20,1,0.9773,0.9981
"71","AR(1)",40,30,0.01,0.0482,0.0463
"72","AR(1)",40,30,0.2575,0.0844,0.096
"73","AR(1)",40,30,0.505,0.242,0.4581
"74","AR(1)",40,30,0.7525,0.6198,0.8986
"75","AR(1)",40,30,1,0.9384,0.9966
"76","AR(1)",40,50,0.01,0.052,0.0527
"77","AR(1)",40,50,0.2575,0.0727,0.0848
"78","AR(1)",40,50,0.505,0.1815,0.4077
"79","AR(1)",40,50,0.7525,0.4707,0.8717
"80","AR(1)",40,50,1,0.8368,0.9956
"81","AR(1)",50,10,0.01,0.0473,0.0442
"82","AR(1)",50,10,0.2575,0.1556,0.1771
"83","AR(1)",50,10,0.505,0.6258,0.7184
"84","AR(1)",50,10,0.7525,0.9724,0.9871
"85","AR(1)",50,10,1,0.9999,0.9999
"86","AR(1)",50,20,0.01,0.0529,0.053
"87","AR(1)",50,20,0.2575,0.1091,0.1414
"88","AR(1)",50,20,0.505,0.4147,0.6493
"89","AR(1)",50,20,0.7525,0.8731,0.9776
"90","AR(1)",50,20,1,0.9969,0.9997
"91","AR(1)",50,30,0.01,0.0542,0.0519
"92","AR(1)",50,30,0.2575,0.0981,0.1164
"93","AR(1)",50,30,0.505,0.3151,0.6041
"94","AR(1)",50,30,0.7525,0.7767,0.9693
"95","AR(1)",50,30,1,0.9866,0.9999
"96","AR(1)",50,50,0.01,0.0512,0.0544
"97","AR(1)",50,50,0.2575,0.0839,0.1122
"98","AR(1)",50,50,0.505,0.2394,0.5514
"99","AR(1)",50,50,0.7525,0.6125,0.9608
"100","AR(1)",50,50,1,0.9391,0.9997
"101","AR(2)",10,10,0.01,0.0515,0.0413
"102","AR(2)",10,10,0.2575,0.0908,0.0747
"103","AR(2)",10,10,0.505,0.2569,0.2359
"104","AR(2)",10,10,0.7525,0.6137,0.5619
"105","AR(2)",10,10,1,0.9014,0.8451
"106","AR(2)",10,20,0.01,0.0542,0.0393
"107","AR(2)",10,20,0.2575,0.0692,0.058
"108","AR(2)",10,20,0.505,0.1454,0.1834
"109","AR(2)",10,20,0.7525,0.349,0.4732
"110","AR(2)",10,20,1,0.6813,0.7881
"111","AR(2)",10,30,0.01,0.0541,0.0365
"112","AR(2)",10,30,0.2575,0.0629,0.0489
"113","AR(2)",10,30,0.505,0.1023,0.1452
"114","AR(2)",10,30,0.7525,0.2175,0.4086
"115","AR(2)",10,30,1,0.4687,0.7383
"116","AR(2)",10,50,0.01,0.0491,0.0288
"117","AR(2)",10,50,0.2575,0.0575,0.0426
"118","AR(2)",10,50,0.505,0.0802,0.1228
"119","AR(2)",10,50,0.7525,0.1351,0.3527
"120","AR(2)",10,50,1,0.2469,0.6622
"121","AR(2)",20,10,0.01,0.0533,0.0412
"122","AR(2)",20,10,0.2575,0.1269,0.148
"123","AR(2)",20,10,0.505,0.566,0.6483
"124","AR(2)",20,10,0.7525,0.9662,0.9737
"125","AR(2)",20,10,1,0.9999,0.9997
"126","AR(2)",20,20,0.01,0.0502,0.0348
"127","AR(2)",20,20,0.2575,0.0848,0.1115
"128","AR(2)",20,20,0.505,0.2808,0.5958
"129","AR(2)",20,20,0.7525,0.7763,0.9606
"130","AR(2)",20,20,1,0.99,0.9996
"131","AR(2)",20,30,0.01,0.0507,0.03
"132","AR(2)",20,30,0.2575,0.0728,0.0949
"133","AR(2)",20,30,0.505,0.1795,0.5451
"134","AR(2)",20,30,0.7525,0.5152,0.9519
"135","AR(2)",20,30,1,0.9168,0.9993
"136","AR(2)",20,50,0.01,0.057,0.0283
"137","AR(2)",20,50,0.2575,0.0634,0.0725
"138","AR(2)",20,50,0.505,0.1022,0.4828
"139","AR(2)",20,50,0.7525,0.2617,0.9255
"140","AR(2)",20,50,1,0.6045,0.9988
"141","AR(2)",30,10,0.01,0.0533,0.0437
"142","AR(2)",30,10,0.2575,0.1891,0.2487
"143","AR(2)",30,10,0.505,0.824,0.8943
"144","AR(2)",30,10,0.7525,0.9999,0.9997
"145","AR(2)",30,10,1,1,1
"146","AR(2)",30,20,0.01,0.0489,0.0327
"147","AR(2)",30,20,0.2575,0.1032,0.2026
"148","AR(2)",30,20,0.505,0.4836,0.8713
"149","AR(2)",30,20,0.7525,0.9781,0.9995
"150","AR(2)",30,20,1,1,1
"151","AR(2)",30,30,0.01,0.0532,0.0294
"152","AR(2)",30,30,0.2575,0.0833,0.17
"153","AR(2)",30,30,0.505,0.2758,0.8432
"154","AR(2)",30,30,0.7525,0.8471,0.9987
"155","AR(2)",30,30,1,0.9991,1
"156","AR(2)",30,50,0.01,0.0499,0.0256
"157","AR(2)",30,50,0.2575,0.0674,0.1428
"158","AR(2)",30,50,0.505,0.1457,0.8121
"159","AR(2)",30,50,0.7525,0.4611,0.9973
"160","AR(2)",30,50,1,0.9186,1
"161","AR(2)",40,10,0.01,0.0486,0.0385
"162","AR(2)",40,10,0.2575,0.2567,0.3719
"163","AR(2)",40,10,0.505,0.9498,0.9784
"164","AR(2)",40,10,0.7525,1,1
"165","AR(2)",40,10,1,1,1
"166","AR(2)",40,20,0.01,0.0479,0.0351
"167","AR(2)",40,20,0.2575,0.1298,0.3219
"168","AR(2)",40,20,0.505,0.7132,0.9711
"169","AR(2)",40,20,0.7525,0.9994,1
"170","AR(2)",40,20,1,1,1
"171","AR(2)",40,30,0.01,0.053,0.0303
"172","AR(2)",40,30,0.2575,0.0914,0.2765
"173","AR(2)",40,30,0.505,0.4281,0.9614
"174","AR(2)",40,30,0.7525,0.9822,1
"175","AR(2)",40,30,1,1,1
"176","AR(2)",40,50,0.01,0.0477,0.0232
"177","AR(2)",40,50,0.2575,0.0716,0.2396
"178","AR(2)",40,50,0.505,0.1991,0.9476
"179","AR(2)",40,50,0.7525,0.7095,1
"180","AR(2)",40,50,1,0.9958,1
"181","AR(2)",50,10,0.01,0.05,0.0388
"182","AR(2)",50,10,0.2575,0.3351,0.4918
"183","AR(2)",50,10,0.505,0.9916,0.9968
"184","AR(2)",50,10,0.7525,1,1
"185","AR(2)",50,10,1,1,1
"186","AR(2)",50,20,0.01,0.0525,0.0333
"187","AR(2)",50,20,0.2575,0.1556,0.4355
"188","AR(2)",50,20,0.505,0.8725,0.994
"189","AR(2)",50,20,0.7525,1,1
"190","AR(2)",50,20,1,1,1
"191","AR(2)",50,30,0.01,0.0517,0.0261
"192","AR(2)",50,30,0.2575,0.1078,0.3879
"193","AR(2)",50,30,0.505,0.5976,0.9925
"194","AR(2)",50,30,0.7525,0.9986,1
"195","AR(2)",50,30,1,1,1
"196","AR(2)",50,50,0.01,0.0512,0.0239
"197","AR(2)",50,50,0.2575,0.083,0.3443
"198","AR(2)",50,50,0.505,0.2644,0.9898
"199","AR(2)",50,50,0.7525,0.9134,1
"200","AR(2)",50,50,1,1,1
"201","Toeplitz",10,10,0.01,0.0508,0.0383
"202","Toeplitz",10,10,0.2575,0.0751,0.0607
"203","Toeplitz",10,10,0.505,0.1539,0.1329
"204","Toeplitz",10,10,0.7525,0.3514,0.3236
"205","Toeplitz",10,10,1,0.6375,0.5926
"206","Toeplitz",10,20,0.01,0.0499,0.0363
"207","Toeplitz",10,20,0.2575,0.0572,0.0453
"208","Toeplitz",10,20,0.505,0.094,0.0961
"209","Toeplitz",10,20,0.7525,0.175,0.2243
"210","Toeplitz",10,20,1,0.3526,0.4764
"211","Toeplitz",10,30,0.01,0.0541,0.0373
"212","Toeplitz",10,30,0.2575,0.0604,0.0429
"213","Toeplitz",10,30,0.505,0.0815,0.0799
"214","Toeplitz",10,30,0.7525,0.1233,0.1959
"215","Toeplitz",10,30,1,0.2208,0.4033
"216","Toeplitz",10,50,0.01,0.0519,0.0295
"217","Toeplitz",10,50,0.2575,0.058,0.0365
"218","Toeplitz",10,50,0.505,0.0664,0.0645
"219","Toeplitz",10,50,0.7525,0.0897,0.1511
"220","Toeplitz",10,50,1,0.1265,0.333
"221","Toeplitz",20,10,0.01,0.0532,0.0409
"222","Toeplitz",20,10,0.2575,0.0926,0.0935
"223","Toeplitz",20,10,0.505,0.3049,0.385
"224","Toeplitz",20,10,0.7525,0.7376,0.8035
"225","Toeplitz",20,10,1,0.9762,0.9798
"226","Toeplitz",20,20,0.01,0.0574,0.0342
"227","Toeplitz",20,20,0.2575,0.068,0.065
"228","Toeplitz",20,20,0.505,0.1538,0.3006
"229","Toeplitz",20,20,0.7525,0.3831,0.7301
"230","Toeplitz",20,20,1,0.7852,0.9599
"231","Toeplitz",20,30,0.01,0.0543,0.0296
"232","Toeplitz",20,30,0.2575,0.0629,0.0545
"233","Toeplitz",20,30,0.505,0.1039,0.2548
"234","Toeplitz",20,30,0.7525,0.2177,0.6711
"235","Toeplitz",20,30,1,0.503,0.9408
"236","Toeplitz",20,50,0.01,0.0531,0.0244
"237","Toeplitz",20,50,0.2575,0.0563,0.0397
"238","Toeplitz",20,50,0.505,0.0742,0.2008
"239","Toeplitz",20,50,0.7525,0.1213,0.6056
"240","Toeplitz",20,50,1,0.2356,0.9168
"241","Toeplitz",30,10,0.01,0.0499,0.0372
"242","Toeplitz",30,10,0.2575,0.1206,0.1424
"243","Toeplitz",30,10,0.505,0.4841,0.6332
"244","Toeplitz",30,10,0.7525,0.9468,0.9714
"245","Toeplitz",30,10,1,0.9997,0.9998
"246","Toeplitz",30,20,0.01,0.0496,0.031
"247","Toeplitz",30,20,0.2575,0.0764,0.1062
"248","Toeplitz",30,20,0.505,0.218,0.5567
"249","Toeplitz",30,20,0.7525,0.654,0.9521
"250","Toeplitz",30,20,1,0.9781,0.9995
"251","Toeplitz",30,30,0.01,0.0514,0.028
"252","Toeplitz",30,30,0.2575,0.0639,0.0773
"253","Toeplitz",30,30,0.505,0.1346,0.4955
"254","Toeplitz",30,30,0.7525,0.3714,0.9309
"255","Toeplitz",30,30,1,0.8284,0.9988
"256","Toeplitz",30,50,0.01,0.0525,0.0224
"257","Toeplitz",30,50,0.2575,0.0601,0.0621
"258","Toeplitz",30,50,0.505,0.0914,0.4265
"259","Toeplitz",30,50,0.7525,0.1732,0.903
"260","Toeplitz",30,50,1,0.4268,0.9976
"261","Toeplitz",40,10,0.01,0.05,0.037
"262","Toeplitz",40,10,0.2575,0.1506,0.1956
"263","Toeplitz",40,10,0.505,0.6761,0.8151
"264","Toeplitz",40,10,0.7525,0.9954,0.9969
"265","Toeplitz",40,10,1,1,1
"266","Toeplitz",40,20,0.01,0.0505,0.0324
"267","Toeplitz",40,20,0.2575,0.084,0.1493
"268","Toeplitz",40,20,0.505,0.2982,0.7492
"269","Toeplitz",40,20,0.7525,0.873,0.9926
"270","Toeplitz",40,20,1,0.9992,1
"271","Toeplitz",40,30,0.01,0.0518,0.0273
"272","Toeplitz",40,30,0.2575,0.072,0.1208
"273","Toeplitz",40,30,0.505,0.1762,0.7086
"274","Toeplitz",40,30,0.7525,0.5846,0.9914
"275","Toeplitz",40,30,1,0.9788,1
"276","Toeplitz",40,50,0.01,0.0539,0.0252
"277","Toeplitz",40,50,0.2575,0.0615,0.09
"278","Toeplitz",40,50,0.505,0.1062,0.6523
"279","Toeplitz",40,50,0.7525,0.2535,0.9833
"280","Toeplitz",40,50,1,0.6881,1
"281","Toeplitz",50,10,0.01,0.0485,0.0378
"282","Toeplitz",50,10,0.2575,0.1713,0.2683
"283","Toeplitz",50,10,0.505,0.8271,0.9169
"284","Toeplitz",50,10,0.7525,0.9999,1
"285","Toeplitz",50,10,1,1,1
"286","Toeplitz",50,20,0.01,0.0456,0.0264
"287","Toeplitz",50,20,0.2575,0.0977,0.2033
"288","Toeplitz",50,20,0.505,0.4187,0.874
"289","Toeplitz",50,20,0.7525,0.9737,0.9996
"290","Toeplitz",50,20,1,1,1
"291","Toeplitz",50,30,0.01,0.0486,0.0242
"292","Toeplitz",50,30,0.2575,0.0759,0.1641
"293","Toeplitz",50,30,0.505,0.2324,0.8496
"294","Toeplitz",50,30,0.7525,0.7957,0.9994
"295","Toeplitz",50,30,1,0.9991,1
"296","Toeplitz",50,50,0.01,0.0524,0.0253
"297","Toeplitz",50,50,0.2575,0.0624,0.1329
"298","Toeplitz",50,50,0.505,0.1175,0.806
"299","Toeplitz",50,50,0.7525,0.3705,0.998
"300","Toeplitz",50,50,1,0.8898,1
